page,ligne,indirect,jour,mois,mois_num,année,Date,mois_année,Rang cette semaine-là,Émission,Diffuseur,Début,Fin,Cote,Plus de 1M,"Plus de 1,5M",Plus de 2M,"Plus de 2,5M"
38,1,"Du 31 août au 6 septembre 2009 / August 31 to September 6, 2009",31,août ,8,2009,2009-08-31,2009-08,1,Roue de fortune chez vous!,TVA,18:57,19:00,970,,,,
38,2,"Du 31 août au 6 septembre 2009 / August 31 to September 6, 2009",31,août ,8,2009,2009-08-31,2009-08,2,"Poule aux oeufs d'or, La",TVA,19:00,19:30,934,,,,
38,3,"Du 31 août au 6 septembre 2009 / August 31 to September 6, 2009",31,août ,8,2009,2009-08-31,2009-08,3,"Gags, Les",TVA,19:00,19:30,929,,,,
38,4,"Du 31 août au 6 septembre 2009 / August 31 to September 6, 2009",31,août ,8,2009,2009-08-31,2009-08,4,Le 17 heures,TVA,17:00,18:00,902,,,,
38,5,"Du 31 août au 6 septembre 2009 / August 31 to September 6, 2009",31,août ,8,2009,2009-08-31,2009-08,5,Qui perd gagne,TVA,19:00,20:00,895,,,,
38,6,"Du 31 août au 6 septembre 2009 / August 31 to September 6, 2009",31,août ,8,2009,2009-08-31,2009-08,6,"TVA 18 heures, Le",TVA,18:00,18:30,885,,,,
38,7,"Du 31 août au 6 septembre 2009 / August 31 to September 6, 2009",31,août ,8,2009,2009-08-31,2009-08,6,Km/h en rappel,TVA,20:30,21:00,831,,,,
38,8,"Du 31 août au 6 septembre 2009 / August 31 to September 6, 2009",31,août ,8,2009,2009-08-31,2009-08,8,Histoires de filles en rappel,TVA,19:30,20:00,811,,,,
38,9,"Du 31 août au 6 septembre 2009 / August 31 to September 6, 2009",31,août ,8,2009,2009-08-31,2009-08,9,Sucré Salé,TVA,18:30,18:57,794,,,,
38,10,"Du 31 août au 6 septembre 2009 / August 31 to September 6, 2009",31,août ,8,2009,2009-08-31,2009-08,10,Sucré Salé - Le meilleur de l'été 2009,TVA,19:30,20:30,790,,,,
